match_id,match_date,stage,matchday,group,home_team_code,home_team,away_team_code,away_team,home_goals,away_goals,winner,result_type,total_goals,home_points,away_points,fifa_venue_name,common_stadium_name,city,host_country,source_url,dataset_cutoff,scoreline,winning_margin,is_draw
WC2026-001,2026-06-11,Group Stage,1,A,MEX,Mexico,RSA,South Africa,2,0,Mexico,home_win,2,3,0,Mexico City Stadium,Estadio Azteca,Mexico City,Mexico,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Mexico 2-0 South Africa,2,False
WC2026-002,2026-06-11,Group Stage,1,A,KOR,Korea Republic,CZE,Czechia,2,1,Korea Republic,home_win,3,3,0,Guadalajara Stadium,Estadio Akron,Guadalajara,Mexico,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Korea Republic 2-1 Czechia,1,False
WC2026-003,2026-06-12,Group Stage,1,B,CAN,Canada,BIH,Bosnia and Herzegovina,1,1,Draw,draw,2,1,1,Toronto Stadium,BMO Field,Toronto,Canada,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Canada 1-1 Bosnia and Herzegovina,0,True
WC2026-004,2026-06-12,Group Stage,1,D,USA,United States,PAR,Paraguay,4,1,United States,home_win,5,3,0,Los Angeles Stadium,SoFi Stadium,Los Angeles,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",United States 4-1 Paraguay,3,False
WC2026-005,2026-06-13,Group Stage,1,B,QAT,Qatar,SUI,Switzerland,1,1,Draw,draw,2,1,1,San Francisco Bay Area Stadium,Levi's Stadium,Santa Clara,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Qatar 1-1 Switzerland,0,True
WC2026-006,2026-06-13,Group Stage,1,C,BRA,Brazil,MAR,Morocco,1,1,Draw,draw,2,1,1,New York New Jersey Stadium,MetLife Stadium,East Rutherford,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Brazil 1-1 Morocco,0,True
WC2026-007,2026-06-13,Group Stage,1,C,HTI,Haiti,SCO,Scotland,0,1,Scotland,away_win,1,0,3,Boston Stadium,Gillette Stadium,Foxborough,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Haiti 0-1 Scotland,1,False
WC2026-008,2026-06-13,Group Stage,1,D,AUS,Australia,TUR,Türkiye,2,0,Australia,home_win,2,3,0,BC Place Vancouver,BC Place,Vancouver,Canada,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Australia 2-0 Türkiye,2,False
WC2026-009,2026-06-14,Group Stage,1,E,CIV,Côte d'Ivoire,ECU,Ecuador,1,0,Côte d'Ivoire,home_win,1,3,0,Philadelphia Stadium,Lincoln Financial Field,Philadelphia,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Côte d'Ivoire 1-0 Ecuador,1,False
WC2026-010,2026-06-14,Group Stage,1,E,GER,Germany,CUW,Curaçao,7,1,Germany,home_win,8,3,0,Houston Stadium,NRG Stadium,Houston,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Germany 7-1 Curaçao,6,False
WC2026-011,2026-06-14,Group Stage,1,F,NED,Netherlands,JPN,Japan,2,2,Draw,draw,4,1,1,Dallas Stadium,AT&T Stadium,Arlington,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Netherlands 2-2 Japan,0,True
WC2026-012,2026-06-14,Group Stage,1,F,SWE,Sweden,TUN,Tunisia,5,1,Sweden,home_win,6,3,0,Monterrey Stadium,Estadio BBVA,Monterrey,Mexico,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Sweden 5-1 Tunisia,4,False
WC2026-013,2026-06-15,Group Stage,1,G,BEL,Belgium,EGY,Egypt,1,1,Draw,draw,2,1,1,Seattle Stadium,Lumen Field,Seattle,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Belgium 1-1 Egypt,0,True
WC2026-014,2026-06-15,Group Stage,1,G,IRN,IR Iran,NZL,New Zealand,2,2,Draw,draw,4,1,1,Los Angeles Stadium,SoFi Stadium,Los Angeles,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",IR Iran 2-2 New Zealand,0,True
WC2026-015,2026-06-15,Group Stage,1,H,ESP,Spain,CPV,Cabo Verde,0,0,Draw,draw,0,1,1,Atlanta Stadium,Mercedes-Benz Stadium,Atlanta,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Spain 0-0 Cabo Verde,0,True
WC2026-016,2026-06-15,Group Stage,1,H,KSA,Saudi Arabia,URU,Uruguay,1,1,Draw,draw,2,1,1,Miami Stadium,Hard Rock Stadium,Miami Gardens,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Saudi Arabia 1-1 Uruguay,0,True
WC2026-017,2026-06-16,Group Stage,1,I,FRA,France,SEN,Senegal,3,1,France,home_win,4,3,0,New York New Jersey Stadium,MetLife Stadium,East Rutherford,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",France 3-1 Senegal,2,False
WC2026-018,2026-06-16,Group Stage,1,I,IRQ,Iraq,NOR,Norway,1,4,Norway,away_win,5,0,3,Boston Stadium,Gillette Stadium,Foxborough,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Iraq 1-4 Norway,3,False
WC2026-019,2026-06-16,Group Stage,1,J,ARG,Argentina,ALG,Algeria,3,0,Argentina,home_win,3,3,0,Kansas City Stadium,Arrowhead Stadium,Kansas City,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Argentina 3-0 Algeria,3,False
WC2026-020,2026-06-16,Group Stage,1,J,AUT,Austria,JOR,Jordan,3,1,Austria,home_win,4,3,0,San Francisco Bay Area Stadium,Levi's Stadium,Santa Clara,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Austria 3-1 Jordan,2,False
WC2026-021,2026-06-17,Group Stage,1,K,POR,Portugal,COD,DR Congo,1,1,Draw,draw,2,1,1,Houston Stadium,NRG Stadium,Houston,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Portugal 1-1 DR Congo,0,True
WC2026-022,2026-06-17,Group Stage,1,L,ENG,England,CRO,Croatia,4,2,England,home_win,6,3,0,Dallas Stadium,AT&T Stadium,Arlington,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",England 4-2 Croatia,2,False
WC2026-023,2026-06-17,Group Stage,1,L,GHA,Ghana,PAN,Panama,1,0,Ghana,home_win,1,3,0,Toronto Stadium,BMO Field,Toronto,Canada,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Ghana 1-0 Panama,1,False
WC2026-024,2026-06-17,Group Stage,1,K,UZB,Uzbekistan,COL,Colombia,1,3,Colombia,away_win,4,0,3,Mexico City Stadium,Estadio Azteca,Mexico City,Mexico,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Uzbekistan 1-3 Colombia,2,False
WC2026-025,2026-06-18,Group Stage,2,A,CZE,Czechia,RSA,South Africa,1,1,Draw,draw,2,1,1,Atlanta Stadium,Mercedes-Benz Stadium,Atlanta,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Czechia 1-1 South Africa,0,True
WC2026-026,2026-06-18,Group Stage,2,B,SUI,Switzerland,BIH,Bosnia and Herzegovina,4,1,Switzerland,home_win,5,3,0,Los Angeles Stadium,SoFi Stadium,Los Angeles,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Switzerland 4-1 Bosnia and Herzegovina,3,False
WC2026-027,2026-06-18,Group Stage,2,B,CAN,Canada,QAT,Qatar,6,0,Canada,home_win,6,3,0,BC Place Vancouver,BC Place,Vancouver,Canada,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Canada 6-0 Qatar,6,False
WC2026-028,2026-06-18,Group Stage,2,A,MEX,Mexico,KOR,Korea Republic,1,0,Mexico,home_win,1,3,0,Guadalajara Stadium,Estadio Akron,Guadalajara,Mexico,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Mexico 1-0 Korea Republic,1,False
WC2026-029,2026-06-19,Group Stage,2,D,USA,United States,AUS,Australia,2,0,United States,home_win,2,3,0,Seattle Stadium,Lumen Field,Seattle,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",United States 2-0 Australia,2,False
